student_id,marks,study_hours_per_week,attendance_percent,previous_year_marks,assignments_submitted,extracurricular_score,parental_education_level,school_type,result
129,62,6.94,97,69,3,8,2,private,0
130,51,2.62,94,55,5,0,1,private,0
131,32,4.48,81,40,4,6,3,public,0
132,61,2.28,81,62,9,3,2,private,0
133,41,3.27,89,66,6,6,3,private,0
134,69,0.24,82,65,5,1,4,public,0
135,43,4.77,89,50,5,5,2,private,0
136,88,0.22,96,83,3,7,3,private,0
137,46,6.79,93,32,6,5,2,private,0
138,54,6.97,92,53,9,0,2,private,0
139,75,1.08,83,72,4,3,2,private,0
140,38,1.56,92,56,4,8,4,private,0
141,64,2.63,79,68,7,6,3,public,0
142,84,3.63,92,76,7,1,2,public,0
143,31,1.36,80,32,6,9,4,public,0
144,63,3.59,95,54,2,8,2,private,1
145,65,1.41,91,63,10,3,2,public,0
146,74,0.23,79,84,8,5,3,private,1
147,38,0.01,75,43,6,8,2,public,0
148,36,0.43,98,20,10,5,2,public,0
149,69,6.29,95,61,3,10,1,public,0
150,65,13.02,96,57,5,6,2,public,1
151,65,2.23,93,58,1,0,2,private,0
152,66,2.88,85,69,3,2,2,private,0
153,48,0.64,85,58,6,3,2,public,0
154,64,3.2,90,61,10,10,2,public,0
155,65,0.63,83,59,5,6,1,private,0
156,47,3.78,96,55,4,10,1,public,0
157,94,10.83,83,97,7,6,4,private,1
158,69,0.87,92,64,10,7,3,private,0
159,39,5.79,81,35,4,6,4,private,0
160,72,0.1,82,69,5,7,3,public,0
161,42,1.88,86,53,6,3,2,private,0
162,74,0.47,99,78,9,2,2,private,0
163,81,1.74,80,99,10,2,2,private,0
164,45,0.76,98,50,7,0,3,public,0
165,77,1.87,68,68,7,10,1,private,0
166,67,2.16,77,50,8,4,2,public,0
167,75,1.43,98,69,3,10,2,public,0
168,94,4.28,90,78,7,2,2,public,1
169,56,10.05,97,48,5,10,2,private,0
170,46,2.05,95,46,2,2,3,public,0
171,44,0.85,93,31,5,3,1,private,0
172,45,1.26,79,53,6,3,4,private,0
173,59,7.7,97,54,6,9,2,private,1
174,66,3.39,93,74,5,0,3,private,1
175,65,2.43,79,56,8,7,2,private,0
176,75,0.65,81,82,2,0,3,private,0
177,60,2.39,70,55,6,2,0,public,0
178,86,1.31,96,84,5,0,0,private,0
179,55,11.47,69,49,5,10,3,public,0
180,100,8.62,97,98,6,3,2,public,1
181,71,0.35,94,77,7,1,4,private,0
182,45,2.91,94,31,6,4,2,public,1
183,41,1.02,90,63,6,7,1,private,0
184,69,2.12,86,91,9,1,3,private,0
185,56,8.38,86,51,7,5,2,private,0
186,73,3.0,73,83,5,10,1,private,0
187,69,1.63,86,57,6,8,3,public,0
188,59,0.93,63,43,8,8,2,private,0
189,45,6.44,79,64,4,0,3,private,0
190,33,3.92,73,41,7,7,1,private,1
191,52,2.52,93,54,7,3,1,public,0
192,75,0.98,95,83,5,2,3,private,0
193,64,1.63,91,57,5,4,2,public,0
194,38,12.86,84,39,5,5,3,private,0
195,63,2.94,92,65,5,3,3,private,1
196,67,2.05,92,53,7,3,2,public,1
197,44,2.95,96,56,6,2,2,private,0
198,63,6.04,98,59,5,9,3,private,0
199,61,1.66,81,49,6,7,2,private,0
200,39,0.79,88,56,10,7,2,public,0
201,66,3.52,85,78,5,7,0,public,0
202,70,4.38,85,68,7,0,1,private,0
203,79,4.99,84,67,6,5,2,private,0
204,79,8.55,88,84,10,4,2,public,1
205,35,1.86,70,36,8,0,2,public,0
206,43,0.31,67,65,7,6,3,private,0
207,69,12.71,93,82,2,7,2,public,0
208,69,2.28,74,65,7,9,3,public,0
209,69,3.9,85,84,2,8,3,public,0
210,100,4.39,95,100,7,5,1,private,0
211,70,3.16,91,53,9,4,3,private,1
212,80,0.92,73,86,5,7,3,private,0
213,77,5.63,79,89,4,9,2,private,0
214,72,6.51,60,68,4,0,4,private,0
215,54,3.22,99,42,7,5,3,private,1
216,74,2.68,85,100,5,4,2,public,0
217,46,0.48,96,62,6,6,3,private,0
218,56,0.35,82,59,9,0,4,private,0
219,51,1.66,98,30,3,10,4,private,0
220,61,1.49,96,57,4,9,1,private,0
221,100,12.29,87,100,5,1,4,private,1
222,26,6.12,89,40,5,0,2,private,0
223,72,4.31,93,70,5,5,1,private,0
224,31,2.92,61,26,5,4,3,public,0
225,52,0.73,65,67,3,1,4,private,0
226,80,15.35,93,78,10,0,2,public,0
227,61,1.88,87,60,4,10,1,public,1
228,41,0.45,69,46,8,8,2,public,0
229,47,2.72,85,53,4,7,2,public,0
230,72,8.29,85,62,8,0,1,private,1
231,47,8.73,89,54,8,6,2,private,0
232,64,0.04,77,55,7,8,0,private,0
233,61,8.7,76,75,8,2,1,public,0
234,48,1.27,99,45,5,8,4,public,1
235,99,0.16,97,100,5,0,2,private,0
236,71,7.53,95,43,3,8,1,private,0
237,24,7.98,94,33,6,1,4,private,0
238,63,3.63,90,73,7,4,2,private,0
239,48,3.42,82,43,2,10,1,private,0
240,75,6.71,79,62,7,5,2,private,0
241,46,6.17,88,33,4,9,4,private,0
242,58,8.83,93,59,7,4,4,public,0
243,69,3.22,97,58,6,5,2,public,0
244,76,13.72,78,76,8,10,2,private,0
245,38,22.24,63,40,10,4,3,private,1
246,54,0.5,68,57,6,6,2,private,0
247,51,7.58,73,66,2,0,3,private,1
248,48,2.77,65,62,10,7,2,public,0
249,92,1.96,96,94,3,1,2,private,0
250,67,3.8,93,74,2,4,2,private,0
251,37,0.23,79,42,9,6,1,private,0
252,77,2.82,99,92,6,1,2,public,0
253,98,8.19,79,100,6,2,2,private,1
254,79,0.96,97,89,6,0,2,public,0
255,33,2.22,67,56,7,5,1,private,1
256,51,11.22,77,56,4,2,3,private,1
257,83,2.24,96,79,3,7,2,private,0
258,47,1.77,81,43,5,8,3,public,1
259,68,2.32,81,61,6,6,2,public,0
260,74,2.93,90,82,4,6,3,private,0
261,43,4.0,81,47,8,4,3,private,0
262,59,6.45,94,56,4,7,2,public,0
263,2,2.41,93,18,5,8,4,private,1
264,42,6.8,95,39,5,3,0,private,0
265,55,3.05,92,57,3,10,4,private,0
266,38,1.65,71,31,7,5,4,public,0
267,89,4.29,81,89,6,1,3,private,0
268,34,5.06,87,27,2,1,2,private,1
269,52,3.27,86,52,9,6,1,private,0
270,62,0.23,94,52,8,6,1,private,0
271,86,0.74,89,82,7,0,3,public,1
272,34,1.34,95,28,7,5,4,private,0
273,81,1.33,78,75,4,8,3,private,0
274,60,4.48,94,52,6,2,1,private,0
275,42,0.07,81,39,6,4,4,private,0
276,68,5.64,93,43,4,0,0,private,0
277,64,1.23,83,71,3,10,3,public,0
278,49,1.48,93,52,5,4,1,private,0
279,61,3.0,92,65,1,6,0,public,0
280,53,0.97,91,52,4,1,3,private,0
281,62,8.63,89,75,10,2,2,private,1
282,72,0.36,92,65,4,5,2,public,0
283,89,2.35,87,72,8,6,2,public,0
284,38,7.57,91,41,3,6,2,private,0
285,98,3.83,86,100,10,3,4,private,0
286,25,1.38,63,40,2,1,1,private,0
287,57,2.18,65,67,3,4,2,public,0
288,71,4.91,83,94,8,5,1,private,0
289,65,14.49,74,61,5,7,1,private,0
290,49,8.94,98,45,8,10,1,public,1
291,56,1.68,90,54,7,6,3,public,0
292,51,25.28,81,26,10,1,2,private,0
293,49,0.01,98,64,10,6,3,private,0
294,75,0.11,97,75,7,6,2,private,1
295,66,6.95,90,60,6,4,2,private,0
296,48,0.89,67,46,3,4,2,public,0
297,76,0.25,85,67,4,1,2,public,0
298,66,1.08,88,67,7,5,1,public,0
299,75,2.22,91,70,6,0,2,private,0
300,71,5.25,95,66,7,6,2,private,0
301,45,3.92,96,36,8,9,1,public,0
302,50,1.09,100,50,6,4,4,private,0
303,73,2.8,96,68,4,7,2,public,0
304,71,10.43,90,85,5,9,1,private,1
305,60,6.75,87,65,6,3,2,private,1
306,62,1.56,97,49,9,4,1,public,1
307,83,16.13,93,89,3,3,4,public,1
308,49,4.93,83,52,4,8,3,public,0
309,70,0.26,85,71,5,9,1,private,0
310,56,0.14,92,54,3,2,1,public,0
311,56,0.74,81,68,5,0,2,private,0
312,80,5.21,85,69,4,4,2,public,0
313,75,0.81,92,74,8,10,2,private,0
314,75,2.87,91,58,10,4,3,private,0
315,83,0.39,92,88,6,10,3,private,0
316,60,10.15,97,59,2,8,1,public,0
317,72,1.69,85,62,5,0,2,private,0
318,54,9.55,91,56,2,10,2,private,0
319,66,11.59,93,80,6,8,2,private,0
320,58,0.02,77,59,5,4,2,public,0
321,62,2.5,74,46,6,1,3,public,0
322,71,0.1,90,71,3,9,1,private,0
323,45,9.57,84,48,4,10,2,public,0
324,98,2.92,80,91,7,0,1,public,0
325,42,0.31,87,64,4,5,2,public,0
326,38,0.47,90,24,10,0,3,public,0
327,81,1.93,92,56,9,2,2,public,1
328,74,11.27,79,65,8,8,2,private,0
329,71,4.72,82,52,5,5,2,private,0
330,71,8.09,73,80,10,9,3,public,0
331,60,1.83,72,71,8,9,1,private,0
332,44,0.18,82,28,7,5,1,private,0
333,61,14.65,82,50,8,1,0,private,1
334,48,0.07,85,36,6,8,3,private,0
335,78,11.8,73,78,4,3,2,public,0
336,57,1.84,78,62,5,8,3,public,0
337,45,0.04,78,60,6,3,2,public,0
338,54,4.67,70,58,6,10,1,private,1
339,67,15.76,91,64,10,3,3,public,1
340,50,13.48,93,46,6,5,0,private,0
341,45,0.7,69,46,8,10,2,public,0
342,64,0.8,84,66,7,6,2,private,0
343,64,3.33,93,63,8,5,1,public,1
344,51,4.06,97,52,7,0,2,public,0
345,52,5.38,83,52,4,7,2,private,1
346,64,0.8,73,49,4,0,1,private,0
347,34,12.78,94,35,5,6,2,private,1
348,35,4.07,75,26,7,1,2,private,0
349,47,7.51,86,49,5,6,3,private,0
350,56,3.11,98,61,10,2,3,private,1
351,66,2.14,69,78,9,10,3,public,0
352,87,15.12,84,87,5,3,2,public,0
353,75,3.49,84,69,7,5,4,public,0
354,57,8.07,99,65,5,4,2,private,1
355,60,12.26,91,61,3,1,1,private,0
356,42,4.5,94,62,4,1,2,private,0
357,60,3.18,96,46,6,0,3,private,0
358,55,0.01,97,49,9,2,3,private,0
359,66,0.16,86,59,7,1,1,private,0
360,45,0.9,97,63,7,3,2,public,0
361,69,0.82,89,74,6,4,2,private,0
362,88,1.18,75,69,9,3,4,public,0
363,58,1.45,99,40,2,0,1,public,0
364,67,1.79,95,76,5,1,3,private,0
365,72,2.18,98,61,7,2,0,private,0
366,53,0.42,93,53,3,6,3,private,0
367,64,0.17,99,62,3,4,2,private,0
368,60,4.48,93,80,4,1,3,private,0
369,62,3.08,100,60,3,9,0,public,0
370,46,2.35,91,42,7,6,4,private,1
371,60,4.03,97,66,8,2,2,private,0
372,69,7.03,86,80,1,6,0,private,0
373,86,2.23,94,87,8,5,1,private,0
374,77,4.1,87,54,4,10,2,private,0
375,99,12.28,95,100,10,5,3,public,0
376,46,7.32,89,32,6,10,2,private,0
377,76,2.22,96,61,5,1,1,public,0
378,63,4.14,96,58,5,2,3,public,0
379,99,0.78,88,100,9,9,3,public,0
380,45,3.29,93,60,6,10,4,private,0
381,45,15.92,88,25,7,3,3,private,0
382,49,2.92,84,51,8,9,1,private,1
383,22,10.5,85,37,4,3,2,public,0
384,51,2.09,78,50,6,5,3,public,0
385,46,27.05,86,54,10,3,4,private,1
386,63,3.46,92,70,9,7,0,public,0
387,66,0.17,73,60,9,7,4,private,0
388,94,3.53,97,100,3,7,2,private,0
389,77,1.28,84,78,2,0,3,private,0
390,50,0.13,90,47,6,5,1,private,0
391,44,6.88,86,60,1,8,2,private,0
392,69,1.29,91,67,2,1,2,public,0
393,36,6.37,61,51,5,9,2,public,0
394,93,1.36,88,90,3,2,2,private,0
395,81,0.86,92,80,7,8,3,private,0
396,52,14.59,94,50,8,9,3,public,1
397,29,1.8,92,39,8,2,2,public,0
398,84,3.68,96,75,10,4,2,public,0
399,58,3.77,62,63,4,4,4,public,0
400,82,3.29,80,86,6,10,4,private,0
401,31,9.85,97,35,7,10,4,private,1
402,49,4.49,85,69,5,0,4,public,0
403,60,2.07,83,58,9,10,2,public,0
404,61,7.93,87,88,6,5,3,private,0
405,52,0.8,86,63,5,9,2,private,0
406,71,3.14,92,57,5,7,3,private,0
407,41,12.03,95,30,7,3,3,public,0
408,57,3.93,86,67,10,4,2,public,1
409,62,6.79,88,55,7,10,0,public,0
410,69,4.24,80,71,7,1,3,private,0
411,73,7.31,91,66,7,0,4,private,0
412,40,11.56,91,35,8,2,3,private,0
413,32,1.27,73,29,9,5,0,public,0
414,83,0.74,86,93,7,1,3,public,0
415,66,2.65,93,64,4,8,2,private,0
416,47,4.84,98,61,3,6,3,public,0
417,88,1.03,95,78,7,8,1,private,0
418,62,0.02,95,70,1,5,3,private,0
419,81,1.68,69,83,6,9,4,public,0
420,61,13.88,97,49,10,5,2,public,1
421,97,4.75,90,91,6,2,2,private,0
422,92,2.05,82,91,3,5,3,public,0
423,56,0.86,90,68,5,0,2,public,0
424,77,1.76,89,76,8,5,3,private,0
425,72,0.74,84,93,8,0,3,private,1
426,85,0.45,97,82,4,8,2,private,0
427,43,9.49,91,44,5,1,2,public,0
428,72,24.21,87,85,6,0,3,private,1
429,79,0.72,93,66,8,5,1,private,1
430,28,0.22,88,40,5,5,1,public,1
431,39,1.6,87,32,1,8,0,private,0
432,23,2.48,67,21,4,8,0,public,0
433,55,0.92,96,58,1,8,3,private,0
434,73,1.43,67,65,7,1,1,private,0
435,87,0.9,97,100,9,2,3,private,0
436,61,5.95,81,63,3,9,2,public,0
437,89,4.99,87,90,5,0,2,private,0
438,35,4.03,67,29,5,8,3,public,0
439,29,1.96,85,16,6,4,2,private,0
440,59,9.59,94,70,2,1,1,private,0
441,67,13.96,83,64,5,4,2,private,1
442,59,0.76,89,62,6,3,1,private,0
443,23,1.01,96,13,8,5,1,private,0
444,58,2.98,94,66,10,4,2,private,0
445,37,0.38,94,34,6,4,3,private,0
446,72,2.29,95,55,9,7,2,private,1
447,67,3.49,79,64,6,3,3,private,0
448,43,2.95,93,51,10,0,2,private,0
449,51,1.61,98,57,9,1,0,public,0
450,41,3.13,79,45,9,2,2,private,0
451,59,12.76,83,59,8,9,1,private,0
452,77,0.92,85,77,7,7,3,private,1
453,42,4.25,84,36,9,9,2,public,1
454,69,0.18,84,81,1,8,2,private,0
455,50,0.27,88,49,4,2,2,private,0
456,46,3.21,87,41,4,8,2,private,0
457,58,0.44,76,76,7,2,2,private,0
458,41,0.09,94,53,2,4,1,private,0
459,50,0.75,71,51,5,2,2,public,0
460,38,3.33,91,34,2,9,2,private,0
461,95,4.86,79,92,7,3,2,public,1
462,61,0.9,89,51,7,3,2,private,0
463,47,4.41,86,57,4,9,2,private,0
464,64,0.81,90,82,2,10,2,public,1
465,58,3.8,95,64,10,6,1,private,0
466,56,2.12,88,72,4,4,1,private,0
467,71,4.24,80,80,4,3,2,private,0
468,74,21.24,70,59,7,5,3,public,1
469,50,11.11,79,65,8,9,4,private,0
470,50,0.02,98,48,9,10,1,public,0
471,55,8.67,87,57,8,2,2,public,0
472,19,0.28,70,10,6,6,0,public,0
473,33,12.23,88,15,5,4,1,public,0
474,85,1.32,89,79,10,2,2,public,0
475,90,1.93,93,93,10,2,2,private,0
476,56,0.38,96,57,10,2,3,public,0
477,70,0.48,70,78,9,3,1,private,1
478,66,5.19,87,69,3,6,3,private,0
479,100,11.55,67,100,10,0,2,private,1
480,80,3.77,86,75,6,4,2,private,1
481,58,5.03,85,78,5,6,2,public,0
482,43,5.74,87,63,6,3,2,private,1
483,31,1.22,91,34,4,9,3,private,0
484,64,0.19,90,50,6,1,2,private,0
485,46,0.01,95,50,5,10,3,private,0
486,34,1.73,90,21,9,7,1,public,0
487,48,1.11,89,34,9,0,2,private,0
488,41,0.26,87,51,3,5,2,public,1
489,90,0.79,92,81,5,5,4,public,1
490,76,0.53,87,71,4,3,2,private,0
491,60,9.85,94,69,3,3,0,private,1
492,87,0.6,85,92,2,6,4,private,0
493,61,3.09,96,68,5,9,2,private,0
494,44,3.6,79,62,7,10,1,private,0
495,87,3.14,83,82,6,2,1,private,0
496,70,0.42,86,73,6,5,4,private,0
497,41,1.54,79,56,4,2,2,public,0
498,57,0.21,69,48,5,3,2,public,0
499,44,2.01,70,43,5,6,2,private,0
500,35,0.84,92,44,7,8,0,public,0
501,77,3.3,74,65,7,2,3,private,0
502,94,4.72,97,96,4,3,2,private,0
503,35,3.04,87,32,4,1,2,public,0
504,70,2.28,90,61,6,10,3,public,0
505,48,1.96,94,60,6,5,1,public,0
506,51,7.37,88,60,3,4,2,public,0
507,49,0.99,92,54,3,2,2,public,0
508,44,5.3,92,51,7,10,3,public,0
509,61,5.67,94,57,5,2,2,public,0
510,45,2.17,70,46,8,1,2,private,0
511,65,1.41,95,57,6,5,2,private,0
512,59,2.54,76,67,7,4,3,private,0
513,56,0.39,90,47,8,3,2,private,0
514,44,0.19,89,39,5,2,4,private,0
515,50,0.47,89,40,4,3,0,private,0
516,74,0.83,92,76,7,1,3,private,1
517,69,2.81,79,66,7,1,1,private,0
518,42,7.57,93,46,10,6,3,public,1
519,62,1.07,87,55,10,2,2,private,0
520,74,10.94,64,66,10,0,1,public,0
521,30,12.4,92,34,2,2,2,private,1
522,70,12.77,92,69,6,4,2,public,0
523,48,7.27,76,76,5,2,2,private,0
524,70,1.81,88,77,5,4,2,public,0
525,46,0.3,86,47,7,4,2,private,0
526,28,3.36,92,41,8,6,2,private,0
527,31,3.27,90,41,5,6,3,public,0
528,61,7.59,83,63,5,4,2,private,0
529,65,22.08,93,95,5,6,2,private,1
530,44,2.84,71,56,2,4,4,public,1
531,71,1.69,77,60,6,5,4,public,0
532,30,0.82,73,27,7,0,2,private,0
533,59,0.02,85,41,3,1,1,public,1
534,38,2.85,91,23,6,7,1,private,1
535,48,3.24,85,78,10,4,3,public,0
536,61,6.97,98,75,6,7,2,private,1
537,45,2.81,77,28,3,6,3,private,0
538,53,9.93,92,53,6,5,2,public,1
539,78,3.96,87,74,7,1,1,private,0
540,50,7.34,88,77,3,6,2,private,0
541,75,0.64,100,51,2,3,4,private,0
542,40,7.73,79,34,7,10,2,public,0
543,70,4.5,93,64,5,9,2,public,0
544,86,0.75,68,79,4,5,2,public,0
545,16,0.84,86,19,6,3,2,private,0
546,46,10.44,85,55,5,4,3,private,0
547,70,0.13,63,65,2,4,3,private,0
548,56,2.48,91,55,5,5,2,private,1
549,67,1.5,86,57,9,1,2,private,0
550,49,4.38,96,40,10,2,0,public,1
551,62,7.32,94,66,8,10,2,private,0
552,57,1.79,97,63,8,9,1,private,1
553,81,2.23,74,63,3,7,2,private,0
554,65,16.05,73,58,3,2,2,public,0
555,66,6.13,88,63,2,4,2,private,0
556,53,9.1,85,49,6,4,3,private,0
557,51,2.31,95,48,9,10,1,private,0
558,52,1.07,85,27,7,6,1,public,0
559,67,2.12,93,78,4,1,3,private,0
560,52,5.04,98,51,6,5,3,private,0
561,65,0.46,98,93,5,10,0,public,0
562,97,1.26,83,100,6,5,3,public,1
563,76,0.19,72,80,5,4,2,private,0
564,54,2.26,84,45,4,5,1,private,0
565,82,7.03,84,76,2,2,3,public,0
566,53,0.1,93,61,3,1,3,private,0
567,23,4.5,91,20,6,0,3,private,0
568,42,10.78,79,35,2,7,2,public,0
569,26,1.08,86,45,6,9,2,public,0
570,54,4.73,75,58,5,1,3,private,0
571,60,14.77,86,68,7,3,2,public,0
572,90,13.11,84,87,9,6,2,private,1
573,66,1.07,70,78,5,2,3,public,0
574,56,0.42,89,51,4,7,2,private,1
575,75,0.64,89,87,8,4,1,public,0
576,20,4.84,86,16,6,6,2,private,1
577,64,5.17,85,80,5,1,3,private,0
578,74,4.49,93,87,3,0,2,private,1
579,33,1.64,96,29,10,9,2,public,0
580,81,0.74,87,100,6,2,2,public,1
581,66,3.48,75,67,6,6,0,private,0
582,53,2.64,95,70,9,3,3,private,0
583,71,5.22,92,60,6,7,1,private,1
584,100,2.33,96,100,7,2,4,private,0
585,63,1.65,87,67,6,9,0,public,0
586,64,1.39,81,60,6,0,2,public,0
587,52,0.95,88,62,6,7,3,private,1
588,45,1.24,97,58,7,5,3,private,0
589,75,0.4,87,80,8,3,3,private,1
590,45,1.7,86,49,6,9,1,private,1
591,61,0.15,81,64,4,8,2,private,0
592,51,0.83,78,56,5,3,3,public,1
593,69,5.49,73,77,7,5,3,private,0
594,66,1.57,98,74,3,3,3,public,0
595,79,4.41,98,85,5,7,3,private,0
596,51,5.05,77,47,6,5,3,private,0
597,55,3.48,67,65,10,2,3,public,0
598,42,12.75,65,48,5,7,1,public,0
599,52,0.09,98,56,5,9,1,private,1
600,67,5.37,72,65,6,1,1,private,0
601,74,12.76,83,84,3,1,2,private,1
602,43,7.93,76,23,4,5,2,public,0
603,76,0.74,98,75,8,3,3,private,0
604,84,1.58,82,80,5,5,1,public,0
605,67,0.76,84,62,5,4,2,private,0
606,94,3.68,91,91,7,6,2,private,0
607,46,4.98,84,36,5,8,2,private,0
608,38,1.53,88,35,6,0,2,private,0
609,28,3.1,86,16,4,8,3,private,0
610,87,4.7,99,91,4,10,2,private,1
611,72,2.19,82,81,1,9,4,private,0
612,59,7.7,91,70,6,6,2,public,0
613,65,5.91,92,70,9,6,1,public,0
614,40,0.27,91,34,3,0,2,private,1
615,100,3.88,61,89,4,1,2,public,0
616,62,1.07,90,55,2,4,1,public,0
617,62,3.26,66,59,5,10,1,private,0
618,73,12.58,84,67,7,5,1,public,0
619,69,8.45,95,93,5,1,2,public,0
620,64,2.07,91,71,4,8,1,public,0
621,46,1.38,92,52,5,5,2,public,0
622,68,1.07,78,71,8,10,2,private,0
623,94,3.04,75,89,8,8,2,private,0
624,84,0.49,91,85,5,9,4,private,0
625,89,3.19,85,96,8,8,1,private,1
626,51,0.01,95,61,7,10,2,private,0
627,42,1.57,91,45,7,6,2,private,0
628,58,0.99,96,66,8,5,2,private,0
629,61,14.19,73,56,6,8,3,private,0
630,80,5.2,76,64,1,6,3,public,1
